datdep,ptcar_lg_nm_nl,delay_arr,delay_dep,circ_typ,train_serv,mois
05MAR2025,OOSTKAMP,-1.95,-1.95,1,SNCB/NMBS,2025-03
20MAR2025,BOUWEL,-0.62,-0.62,1,SNCB/NMBS,2025-03
14MAR2025,SCHAARBEEK-JOSAPHAT,-0.15,-0.15,1,SNCB/NMBS,2025-03
20MAR2025,LEUVEN,2.4,,1,SNCB/NMBS,2025-03
08MAR2025,COUILLET,-0.82,-0.82,1,SNCB/NMBS,2025-03
03MAR2025,SINT-NIKLAAS,2.93,1.93,1,SNCB/NMBS,2025-03
11MAR2025,PONT-A-CELLES,-0.05,0.28,1,SNCB/NMBS,2025-03
13MAR2025,BIERSET-AWANS,2.98,3.17,1,SNCB/NMBS,2025-03
14MAR2025,DIEGEM,-0.13,-0.13,1,SNCB/NMBS,2025-03
10MAR2025,EPPEGEM,-0.95,-0.95,1,SNCB/NMBS,2025-03
11MAR2025,JETTE,0.28,1.55,1,SNCB/NMBS,2025-03
09MAR2025,FRANIERE,2.72,2.72,1,SNCB/NMBS,2025-03
01MAR2025,NIMY,-0.25,0.17,1,SNCB/NMBS,2025-03
05MAR2025,BRUSSEL-NOORD,1.52,1.48,1,SNCB/NMBS,2025-03
12MAR2025,PONT-DE-SERAING,6.8,6.97,1,SNCB/NMBS,2025-03
10MAR2025,MARLOIE,-0.13,0.23,1,SNCB/NMBS,2025-03
06MAR2025,EDE,0.07,0.07,1,SNCB/NMBS,2025-03
10MAR2025,DE PINTE,0.78,0.07,1,SNCB/NMBS,2025-03
29MAR2025,MELLE,2.97,2.6,1,SNCB/NMBS,2025-03
31MAR2025,BOCKSTAEL,0.7,0.95,1,SNCB/NMBS,2025-03
11MAR2025,KORTRIJK,6.03,4.48,1,SNCB/NMBS,2025-03
15MAR2025,VELTEM,6.68,5.85,1,SNCB/NMBS,2025-03
30MAR2025,LIER,1.07,1.82,1,SNCB/NMBS,2025-03
27MAR2025,LOT,1.72,1.72,1,SNCB/NMBS,2025-03
09MAR2025,HALLE,-0.58,-0.58,1,THI-FACT,2025-03
20MAR2025,RHISNES-SAS,3.67,3.67,1,SNCB/NMBS,2025-03
11MAR2025,KORTENBERG,1.53,1.35,1,SNCB/NMBS,2025-03
27MAR2025,BRUSSEL-KAPELLEKERK,1.22,1.22,1,SNCB/NMBS,2025-03
28MAR2025,BAS-OHA,2.37,2.37,1,SNCB/NMBS,2025-03
22MAR2025,MORTSEL,28.93,28.93,1,SNCB/NMBS,2025-03
07MAR2025,WALCOURT,1.98,,1,SNCB/NMBS,2025-03
24MAR2025,ANTWERPEN-LUCHTBAL,2.35,2.33,1,SNCB/NMBS,2025-03
19MAR2025,HAREN-ZUID,1.45,1.45,1,SNCB/NMBS,2025-03
13MAR2025,PEPINSTER,1.23,1.68,1,SNCB/NMBS,2025-03
10MAR2025,ERPS-KWERPS,1.05,1.05,1,SNCB/NMBS,2025-03
12MAR2025,DIEST,18.62,19.18,1,SNCB/NMBS,2025-03
09MAR2025,LENS,-0.97,-0.18,1,SNCB/NMBS,2025-03
05MAR2025,BELLEM,1.18,1.18,1,SNCB/NMBS,2025-03
24MAR2025,ZAVENTEM,2.93,2.93,1,SNCB/NMBS,2025-03
03MAR2025,LIGNY,0.27,-0.03,1,SNCB/NMBS,2025-03
04MAR2025,BRUSSEL-KAPELLEKERK,4.77,4.77,1,SNCB/NMBS,2025-03
10MAR2025,ANDENNE,1.28,1.72,1,SNCB/NMBS,2025-03
07MAR2025,BEERVELDE,0.62,0.62,1,SNCB/NMBS,2025-03
15MAR2025,HOVE,-2.05,-2.05,1,SNCB/NMBS,2025-03
28MAR2025,DIKSMUIDE,0.78,0.1,1,SNCB/NMBS,2025-03
13MAR2025,NAMUR-HERBATTE,0.53,0.53,1,SNCB/NMBS,2025-03
24MAR2025,DAVE-SAINT-MARTIN,1.35,1.35,1,SNCB/NMBS,2025-03
09MAR2025,NOORDERKEMPEN,-0.73,0.5,1,SNCB/NMBS,2025-03
20MAR2025,BRUSSEL-CENTRAAL,-0.28,0.62,1,SNCB/NMBS,2025-03
23MAR2025,SAINT-DENIS-BOVESSE,4.82,4.82,1,SNCB/NMBS,2025-03
28MAR2025,BRUSSEL-CONGRES,4.97,4.97,1,SNCB/NMBS,2025-03
28MAR2025,BEERSEL,1.17,1.5,1,SNCB/NMBS,2025-03
18MAR2025,MORTSEL,0.3,0.02,1,SNCB/NMBS,2025-03
16MAR2025,DILBEEK,-0.53,0.12,1,SNCB/NMBS,2025-03
16MAR2025,HERGENRATH,13.33,13.45,1,SNCB/NMBS,2025-03
20MAR2025,ANTWERPEN-BERCHEM,3.32,3.15,1,SNCB/NMBS,2025-03
12MAR2025,WAREMME,0.32,0.62,1,SNCB/NMBS,2025-03
07MAR2025,CHATELET,-0.62,-0.03,1,SNCB/NMBS,2025-03
30MAR2025,KORTENBERG,0.25,0.25,1,SNCB/NMBS,2025-03
24MAR2025,BEERNEM,0.0,0.0,1,SNCB/NMBS,2025-03
11MAR2025,TERHAGEN,2.22,2.2,1,SNCB/NMBS,2025-03
25MAR2025,HERENT,0.55,0.55,1,SNCB/NMBS,2025-03
06MAR2025,STOUMONT,2.05,2.05,1,SNCB/NMBS,2025-03
17MAR2025,WERVIK,0.02,1.02,1,SNCB/NMBS,2025-03
21MAR2025,AARSCHOT,0.13,0.13,1,SNCB/NMBS,2025-03
16MAR2025,MECHELEN-NEKKERSPOEL,-0.93,-0.93,1,THI-FACT,2025-03
21MAR2025,SCHOONAARDE,0.22,0.1,1,SNCB/NMBS,2025-03
20MAR2025,PHILIPPEVILLE-642,19.63,19.63,1,SNCB/NMBS,2025-03
16MAR2025,LOKEREN-OOST,0.15,0.15,1,SNCB/NMBS,2025-03
07MAR2025,ANTWERPEN-NOORDERDOKKEN,14.5,14.5,1,SNCB/NMBS,2025-03
16MAR2025,ARCADEN,-0.83,-0.83,1,SNCB/NMBS,2025-03
19MAR2025,KORTENBERG,9.12,9.12,1,SNCB/NMBS,2025-03
09MAR2025,HAREN-ZUID,-0.73,-0.73,1,SNCB/NMBS,2025-03
06MAR2025,SAINT-GHISLAIN,0.13,0.08,1,SNCB/NMBS,2025-03
07MAR2025,BRUSSEL-KAPELLEKERK,2.83,2.83,1,THI-FACT,2025-03
22MAR2025,WIJGMAAL,0.03,1.2,1,SNCB/NMBS,2025-03
21MAR2025,BLERET,60.38,60.38,1,SNCB/NMBS,2025-03
29MAR2025,LABUISSIERE,3.02,3.13,1,SNCB/NMBS,2025-03
19MAR2025,LIEGE-GUILLEMINS,1.48,0.62,1,SNCB/NMBS,2025-03
